district,language,families,service_points_serving_language,is_access_desert,example_points,sectors_covered
Kent School District,Bosnian,2,0,True,,"library, transit"
Federal Way School District,Kikuyu,2,0,True,,"library, transit"
Highline School District,Tongan,2,0,True,,"library, transit"
Kent School District,Aguacateco,2,0,True,,"library, transit"
Federal Way School District,Nepali,2,0,True,,"library, transit"
Highline School District,Lao,2,0,True,,"library, transit"
Federal Way School District,Kinyarwanda,2,0,True,,"library, transit"
Kent School District,Albanian,2,0,True,,"library, transit"
Renton School District,Marquesan,2,0,True,,"library, transit"
Kent School District,Chinese-Taiwanese,2,0,True,,"library, transit"
Federal Way School District,Gujarati,2,0,True,,"library, transit"
Auburn School District,Mandinka,2,0,True,,"library, transit"
Kent School District,Italian,2,0,True,,"library, transit"
Federal Way School District,Indonesian,2,0,True,,"library, transit"
Auburn School District,Mongolian,2,0,True,,"library, transit"
Auburn School District,Malayalam,2,0,True,,"library, transit"
Federal Way School District,Japanese,2,1,False,Federal Way,"library, transit"
Kent School District,Mandingo,2,0,True,,"library, transit"
Kent School District,Latvian,2,0,True,,"library, transit"
Federal Way School District,Bengali,2,0,True,,"library, transit"
Federal Way School District,Bulgarian,2,0,True,,"library, transit"
Federal Way School District,Cebuano,2,0,True,,"library, transit"
Federal Way School District,Chamorro,2,0,True,,"library, transit"
Auburn School District,Polish,2,0,True,,"library, transit"
Kent School District,Tarasco,2,0,True,,"library, transit"
Kent School District,Pere,2,0,True,,"library, transit"
Kent School District,Serbo-Croation,2,0,True,,"library, transit"
Kent School District,Tajiki,2,0,True,,"library, transit"
Auburn School District,Wolof,2,0,True,,"library, transit"
Kent School District,Kmhmu,2,0,True,,"library, transit"
Auburn School District,Yoruba,2,0,True,,"library, transit"
Kent School District,Sinhalese,2,0,True,,"library, transit"
Kent School District,Sotho,2,0,True,,"library, transit"
Auburn School District,Luganda,2,0,True,,"library, transit"
Renton School District,Mandinka,2,0,True,,"library, transit"
Renton School District,Egyptian-Arabic,2,0,True,,"library, transit"
Renton School District,Estonian,2,0,True,,"library, transit"
Renton School District,Fula,2,0,True,,"library, transit"
Renton School District,German,2,0,True,,"library, transit"
Renton School District,"Greek, Modern",2,0,True,,"library, transit"
Renton School District,Kongo,2,0,True,,"library, transit"
Renton School District,Kurdish,2,0,True,,"library, transit"
Renton School District,Indonesian,2,0,True,,"library, transit"
Renton School District,Kazakh,2,0,True,,"library, transit"
Kent School District,Twi,2,0,True,,"library, transit"
Renton School District,Malayalam,2,0,True,,"library, transit"
Renton School District,Chinese-Fukienese,2,0,True,,"library, transit"
Tukwila School District,Kirundi,2,0,True,,"library, transit"
Auburn School District,Ewe,2,0,True,,"library, transit"
Auburn School District,Chinese-Cantonese,2,3,False,Auburn Station,"library, transit"
Auburn School District,Chin,2,0,True,,"library, transit"
Tukwila School District,Malay,1,0,True,,"library, transit"
Tukwila School District,Malayalam,1,0,True,,"library, transit"
Tukwila School District,Kikuyu,1,0,True,,"library, transit"
Tukwila School District,Krio,1,0,True,,"library, transit"
Tukwila School District,Twi,1,0,True,,"library, transit"
Auburn School District,Acholi,1,0,True,,"library, transit"
Renton School District,Haitian Creole,1,0,True,,"library, transit"
Renton School District,Italian,1,0,True,,"library, transit"
Renton School District,Kannada,1,0,True,,"library, transit"
Renton School District,Kirgiz,1,0,True,,"library, transit"
Renton School District,Malay,1,0,True,,"library, transit"
