language,families_south_king_county,kc_tier,kc_status,on_tier_map,tier_map_source,tier_map_vintage
Chamorro,9,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Luganda,8,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Mandingo,8,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Hawaiian,7,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kikuyu,7,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Nuer,7,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Chin,7,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Ayula-Bambara,6,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Bulgarian,6,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Rohingya,6,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
