district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Renton School District,Arabic,72,conservative,2,2,2,4,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,43.2,14.4,34.6,0.481,0,0,72
Auburn School District,Somali,71,conservative,2,2,2,5,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,42.6,14.2,34.1,0.48,0,0,71
Federal Way School District,Arabic,71,conservative,2,2,2,5,0,Federal Way School District,Federal Way School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,42.6,14.2,34.1,0.48,0,0,71
Kent School District,French,71,conservative,2,2,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,42.6,14.2,34.1,0.48,0,0,71
Tukwila School District,Burmese,78,conservative,2,2,3,2,0,Public Health Seattle and King County,City of Tukwila; Public Health Seattle and King County,46.8,0.0,32.8,0.421,0,0,78
Federal Way School District,Farsi,68,conservative,2,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,40.8,13.6,32.6,0.479,0,0,68
Highline School District,French,67,conservative,2,2,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,40.2,13.4,32.2,0.481,0,0,67
Federal Way School District,French,67,conservative,2,2,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,40.2,13.4,32.2,0.481,0,0,67
Tukwila School District,Pashto,67,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,40.2,13.4,32.2,0.481,0,0,67
Kent School District,Kosraean,31,conservative,0,0,0,0,0,City of Auburn,,31.0,31.0,31.0,1.0,31,31,31
Renton School District,Portuguese,64,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,38.4,12.8,30.7,0.48,0,0,64
Kent School District,Hindi,63,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,37.8,12.6,30.2,0.479,0,0,63
Renton School District,Tagalog,63,conservative,2,2,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,37.8,12.6,30.2,0.479,0,0,63
Kent School District,Marshallese,62,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; WashingtonLawHelp,37.2,12.4,29.8,0.481,0,0,62
Tukwila School District,Arabic,59,conservative,2,2,2,5,0,Tukwila School District,King County Library System; Public Health Seattle and King County; Tukwila School District; Washington Healthplanfinder; WashingtonLawHelp,35.4,11.8,28.3,0.48,0,0,59
Highline School District,Arabic,58,conservative,2,2,2,4,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,34.8,11.6,27.8,0.479,0,0,58
Auburn School District,Tagalog,56,conservative,2,2,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,33.6,11.2,26.9,0.48,0,0,56
Renton School District,Punjabi,56,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,33.6,11.2,26.9,0.48,0,0,56
Highline School District,Tigrinya,54,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,32.4,10.8,25.9,0.48,0,0,54
Tukwila School District,French,54,conservative,2,2,2,4,0,Tukwila School District,MultiCare Health System; Public Health Seattle and King County; Tukwila School District; Washington Healthplanfinder,32.4,10.8,25.9,0.48,0,0,54
Federal Way School District,Korean,54,conservative,2,2,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,32.4,10.8,25.9,0.48,0,0,54
Renton School District,Farsi,52,conservative,2,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,31.2,10.4,25.0,0.481,0,0,52
Kent School District,Chuukese,50,conservative,2,2,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,30.0,10.0,24.0,0.48,0,0,50
Auburn School District,Khmer,49,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,29.4,9.8,23.5,0.48,0,0,49
Highline School District,Farsi,46,conservative,2,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,27.6,9.2,22.1,0.48,0,0,46
Highline School District,Khmer,45,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,27.0,9.0,21.6,0.48,0,0,45
Kent School District,Samoan,43,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,25.8,8.6,20.6,0.479,0,0,43
Kent School District,Urdu,31,conservative,1,1,2,0,0,City of Kent,,26.3,6.2,20.3,0.655,0,0,31
