district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Federal Way School District,Wolof,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Estonian,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Indonesian,2,conservative,1,1,2,0,0,City of Renton,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Kazakh,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Malayalam,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Nuer,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Shona,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Tukwila School District,Chamorro,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Tukwila School District,Hawaiian,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Amharic,17,conservative,3,2,2,3,1,King County Library System,International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,3.4,1.0,0.059,0,0,17
Kent School District,Carolinian,1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Auburn School District,Chinese-Cantonese,2,conservative,2,2,2,5,0,King County Library System,DSHS Basic Food (SNAP); King County Library System; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,1.2,0.4,1.0,0.5,0,0,2
Kent School District,German,2,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,1.2,0.4,1.0,0.5,0,0,2
Auburn School District,Kakwa,1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Auburn School District,Karen,1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Auburn School District,Krahn,1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Kent School District,Krahn,1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Kent School District,Moldavian,1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Auburn School District,"Nahuatl, Guerrero region",1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Kent School District,Sao,1,conservative,0,0,0,0,0,City of Auburn,,1.0,1.0,1.0,1.0,1,1,1
Highline School District,Chin,1,conservative,0,0,0,0,0,City of Burien,,1.0,1.0,1.0,1.0,1,1,1
Highline School District,Eritai,1,conservative,0,0,0,0,0,City of Burien,,1.0,1.0,1.0,1.0,1,1,1
Highline School District,"Greek, Modern",1,conservative,0,0,0,0,0,City of Burien,,1.0,1.0,1.0,1.0,1,1,1
Highline School District,Karen,1,conservative,0,0,0,0,0,City of Burien,,1.0,1.0,1.0,1.0,1,1,1
Highline School District,Lao,2,conservative,2,2,2,3,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder,1.2,0.4,1.0,0.5,0,0,2
Highline School District,Mien,1,conservative,0,0,0,0,0,City of Burien,,1.0,1.0,1.0,1.0,1,1,1
Highline School District,Palau,1,conservative,0,0,0,0,0,City of Burien,,1.0,1.0,1.0,1.0,1,1,1
Highline School District,Tongan,2,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,1.2,0.4,1.0,0.5,0,0,2
Federal Way School District,Bangala,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Chin,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Chinese-Taiwanese,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Herero,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Japanese,2,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,1.2,0.4,1.0,0.5,0,0,2
Federal Way School District,Karen,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Kru,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Mandingo,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Moore,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Pashai,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Soninke,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Tedim,1,conservative,0,0,0,0,0,City of Des Moines,,1.0,1.0,1.0,1.0,1,1,1
Federal Way School District,Thai,2,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,1.2,0.4,1.0,0.5,0,0,2
Renton School District,Bassa,1,conservative,0,0,0,0,0,City of Renton,,1.0,1.0,1.0,1.0,1,1,1
Renton School District,German,2,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,1.2,0.4,1.0,0.5,0,0,2
Renton School District,Kirgiz,1,conservative,0,0,0,0,0,City of Renton,,1.0,1.0,1.0,1.0,1,1,1
Renton School District,Maya-Quiche,1,conservative,0,0,0,0,0,City of Renton,,1.0,1.0,1.0,1.0,1,1,1
Renton School District,Serbo-Croation,1,conservative,0,0,0,0,0,City of Renton,,1.0,1.0,1.0,1.0,1,1,1
Tukwila School District,Chinese-Taiwanese,1,conservative,0,0,0,0,0,City of Tukwila,,1.0,1.0,1.0,1.0,1,1,1
Tukwila School District,Fallani,1,conservative,0,0,0,0,0,City of Tukwila,,1.0,1.0,1.0,1.0,1,1,1
Tukwila School District,Kikuyu,1,conservative,0,0,0,0,0,City of Tukwila,,1.0,1.0,1.0,1.0,1,1,1
Tukwila School District,Soninke,1,conservative,0,0,0,0,0,City of Tukwila,,1.0,1.0,1.0,1.0,1,1,1
Auburn School District,Acholi,1,conservative,1,1,2,0,0,City of Auburn,,0.8,0.2,0.7,0.7,0,0,1
Kent School District,Azerbaijani,1,conservative,1,1,2,0,0,City of Kent,,0.8,0.2,0.7,0.7,0,0,1
Kent School District,Ga,1,conservative,1,1,2,0,0,City of Kent,,0.8,0.2,0.7,0.7,0,0,1
Kent School District,Gujarati,1,conservative,1,1,2,0,0,City of Kent,,0.8,0.2,0.7,0.7,0,0,1
Kent School District,Haitian Creole,1,conservative,1,1,2,0,0,City of Kent,,0.8,0.2,0.7,0.7,0,0,1
Auburn School District,Hausa,1,conservative,1,1,2,0,0,City of Auburn,,0.8,0.2,0.7,0.7,0,0,1
Auburn School District,Italian,1,conservative,1,1,2,0,0,City of Auburn,,0.8,0.2,0.7,0.7,0,0,1
Kent School District,Kannada,1,conservative,1,1,2,0,0,City of Kent,,0.8,0.2,0.7,0.7,0,0,1
Kent School District,Krio,1,conservative,1,1,2,0,0,City of Kent,,0.8,0.2,0.7,0.7,0,0,1
Kent School District,Malay,1,conservative,1,1,2,0,0,City of Kent,,0.8,0.2,0.7,0.7,0,0,1
Auburn School District,Mam,1,conservative,1,1,2,0,0,City of Auburn,,0.8,0.2,0.7,0.7,0,0,1
Auburn School District,Nuer,1,conservative,1,1,2,0,0,City of Auburn,,0.8,0.2,0.7,0.7,0,0,1
Highline School District,Albanian,1,conservative,1,1,2,0,0,City of Burien,,0.8,0.2,0.7,0.7,0,0,1
Highline School District,Ilokano,1,conservative,1,1,2,0,0,City of Burien,,0.8,0.2,0.7,0.7,0,0,1
Highline School District,Tibetan,1,conservative,1,1,2,0,0,City of Burien,,0.8,0.2,0.7,0.7,0,0,1
Highline School District,Turkish,1,conservative,1,1,2,0,0,City of Burien,,0.8,0.2,0.7,0.7,0,0,1
Federal Way School District,Azerbaijani,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Federal Way School District,Dutch,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Federal Way School District,Ilokano,1,conservative,1,0,2,0,0,City of Des Moines,,0.8,0.2,0.7,0.7,0,1,1
Federal Way School District,Malay,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Federal Way School District,Polish,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Azerbaijani,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Bosnian,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Bulgarian,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Catalan,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Haitian Creole,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Italian,1,conservative,1,1,2,0,0,City of Renton,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Kannada,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Malay,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Renton School District,Slovenian,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Tukwila School District,Bengali,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Tukwila School District,Dinka,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Tukwila School District,Haitian Creole,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Tukwila School District,Krio,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Tukwila School District,Malay,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Tukwila School District,Malayalam,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Tukwila School District,Twi,1,conservative,1,1,2,0,0,Public Health Seattle and King County,,0.8,0.2,0.7,0.7,0,0,1
Auburn School District,German,1,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,0,1
Auburn School District,Oromo,1,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,0,1
Highline School District,American Sign Language,1,conservative,2,0,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,1,1
Highline School District,Romanian,1,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,0,1
Federal Way School District,Lao,1,conservative,2,2,2,3,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,0,1
Federal Way School District,Romanian,1,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,0,1
Federal Way School District,Tamil,1,conservative,2,1,2,1,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP),0.6,0.2,0.5,0.5,0,0,1
Tukwila School District,Hindi,1,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,0,1
Tukwila School District,Romanian,1,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.6,0.2,0.5,0.5,0,0,1
Highline School District,Spanish,5408,optimistic,3,3,2,12,0,City of Burien,City of Burien; City of Tukwila; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System,0.0,1081.6,324.5,0.06,0,0,0
Kent School District,Spanish,3724,optimistic,3,3,2,11,0,Public Health Seattle and King County,City of Auburn; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System; NW Immigrant Rights Project,0.0,744.8,223.4,0.06,0,0,0
Federal Way School District,Spanish,3480,optimistic,3,3,2,11,0,Federal Way School District,DSHS Basic Food (SNAP); Eastside Legal Assistance Program; Federal Way School District; International Community Health Services; King County Library System; NW Immigrant Rights Project,0.0,696.0,208.8,0.06,0,0,0
Auburn School District,Spanish,3432,optimistic,3,3,2,12,0,Auburn School District,Auburn School District; City of Auburn; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System,0.0,686.4,205.9,0.06,0,0,0
Renton School District,Spanish,2695,optimistic,3,3,2,12,0,Renton School District,City of Tukwila; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System; NW Immigrant Rights Project,0.0,539.0,161.7,0.06,0,0,0
Kent School District,Turkish,109,optimistic,1,1,2,0,0,City of Kent,,92.6,21.8,71.4,0.655,0,0,109
Kent School District,Dari,962,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,192.4,57.7,0.06,0,0,0
Federal Way School District,Dari,863,optimistic,3,3,2,5,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,172.6,51.8,0.06,0,0,0
Kent School District,Nepali,78,optimistic,1,1,2,0,0,City of Kent,,66.3,15.6,51.1,0.655,0,0,78
Auburn School District,Ukrainian,737,optimistic,3,3,2,5,0,Auburn School District,Auburn School District; City of Auburn; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,147.4,44.2,0.06,0,0,0
Auburn School District,Dari,679,optimistic,3,3,2,5,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,135.8,40.7,0.06,0,0,0
Renton School District,Vietnamese,635,optimistic,3,3,2,11,0,Renton School District,City of Tukwila; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,0.0,127.0,38.1,0.06,0,0,0
Kent School District,Ukrainian,537,optimistic,3,3,2,4,0,Public Health Seattle and King County,City of Auburn; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,107.4,32.2,0.06,0,0,0
Kent School District,Vietnamese,535,optimistic,3,3,2,9,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,0.0,107.0,32.1,0.06,0,0,0
Kent School District,Kosraean,31,optimistic,0,0,0,0,0,City of Auburn,,31.0,31.0,31.0,1.0,31,31,31
Kent School District,Punjabi,500,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,100.0,30.0,0.06,0,0,0
Highline School District,Vietnamese,459,optimistic,3,3,2,11,0,City of Burien,City of Burien; City of Tukwila; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest,0.0,91.8,27.5,0.06,0,0,0
Kent School District,Somali,405,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,81.0,24.3,0.06,0,0,0
Federal Way School District,Ukrainian,373,optimistic,3,3,2,4,0,Federal Way School District,Federal Way School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,74.6,22.4,0.06,0,0,0
Kent School District,Russian,352,optimistic,3,3,2,9,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,0.0,70.4,21.1,0.06,0,0,0
Kent School District,Pashto,351,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,70.2,21.1,0.06,0,0,0
Auburn School District,Marshallese,342,optimistic,3,3,2,3,0,Auburn School District,Auburn School District; Public Health Seattle and King County; WashingtonLawHelp,0.0,68.4,20.5,0.06,0,0,0
Kent School District,Urdu,31,optimistic,1,1,2,0,0,City of Kent,,26.3,6.2,20.3,0.655,0,0,31
Renton School District,Soninke,20,optimistic,0,0,0,0,0,City of Renton,,20.0,20.0,20.0,1.0,20,20,20
Auburn School District,Kurdish,29,optimistic,1,1,2,0,0,City of Auburn,,24.6,5.8,19.0,0.655,0,0,29
Federal Way School District,Haitian Creole,29,optimistic,1,1,2,0,0,Public Health Seattle and King County,,24.6,5.8,19.0,0.655,0,0,29
Federal Way School District,Pashto,283,optimistic,3,3,2,5,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,56.6,17.0,0.06,0,0,0
Auburn School District,Turkish,26,optimistic,1,1,2,0,0,City of Auburn,,22.1,5.2,17.0,0.654,0,0,26
Kent School District,Arabic,270,optimistic,3,3,2,4,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,54.0,16.2,0.06,0,0,0
Auburn School District,Nepali,22,optimistic,1,1,2,0,0,City of Auburn,,18.7,4.4,14.4,0.655,0,0,22
Kent School District,Mien,14,optimistic,0,0,0,0,0,City of Auburn,,14.0,14.0,14.0,1.0,14,14,14
Auburn School District,Pashto,229,optimistic,3,3,2,5,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,45.8,13.7,0.06,0,0,0
Kent School District,Karen,13,optimistic,0,0,0,0,0,City of Auburn,,13.0,13.0,13.0,1.0,13,13,13
Kent School District,Palau,13,optimistic,0,0,0,0,0,City of Auburn,,13.0,13.0,13.0,1.0,13,13,13
Renton School District,Ilokano,13,optimistic,0,0,0,0,0,City of Renton,,13.0,13.0,13.0,1.0,13,13,13
Highline School District,Somali,215,optimistic,3,3,2,5,0,Public Health Seattle and King County,City of Tukwila; DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,43.0,12.9,0.06,0,0,0
Kent School District,Ilokano,19,optimistic,1,1,2,0,0,City of Kent,,16.1,3.8,12.4,0.653,0,0,19
Highline School District,Dari,203,optimistic,3,3,2,5,0,Public Health Seattle and King County,City of Tukwila; DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,40.6,12.2,0.06,0,0,0
Renton School District,Cham,12,optimistic,0,0,0,0,0,City of Renton,,12.0,12.0,12.0,1.0,12,12,12
Renton School District,Dari,199,optimistic,3,3,2,5,0,Public Health Seattle and King County,City of Tukwila; DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,39.8,11.9,0.06,0,0,0
Federal Way School District,Russian,197,optimistic,3,3,2,10,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,0.0,39.4,11.8,0.06,0,0,0
Kent School District,Kurdish,18,optimistic,1,1,2,0,0,City of Kent,,15.3,3.6,11.8,0.656,0,0,18
Renton School District,Chinese-Cantonese,189,optimistic,3,3,2,6,0,Renton School District,DSHS Basic Food (SNAP); King County Library System; Renton School District; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,37.8,11.3,0.06,0,0,0
Tukwila School District,Lingala,17,optimistic,1,1,2,0,0,Public Health Seattle and King County,,14.4,3.4,11.1,0.653,0,0,17
Auburn School District,Russian,176,optimistic,3,3,2,10,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,0.0,35.2,10.6,0.06,0,0,0
Kent School District,Chinese-Cantonese,177,optimistic,3,3,2,5,0,King County Library System,DSHS Basic Food (SNAP); King County Library System; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,35.4,10.6,0.06,0,0,0
Kent School District,Kirundi,10,optimistic,0,0,0,0,0,City of Auburn,,10.0,10.0,10.0,1.0,10,10,10
Kent School District,Maay Maay,10,optimistic,0,0,0,0,0,City of Auburn,,10.0,10.0,10.0,1.0,10,10,10
Kent School District,Tagalog,166,optimistic,3,3,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,33.2,10.0,0.06,0,0,0
Highline School District,Amharic,164,optimistic,3,3,2,4,2,City of Burien,City of Burien; International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,32.8,9.8,0.06,0,0,0
Kent School District,Wolof,15,optimistic,1,1,2,0,0,City of Kent,,12.8,3.0,9.8,0.653,0,0,15
Highline School District,Lingala,15,optimistic,1,1,2,0,0,City of Burien,,12.8,3.0,9.8,0.653,0,0,15
Tukwila School District,Portuguese,157,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,31.4,9.4,0.06,0,0,0
Auburn School District,Punjabi,152,optimistic,3,3,2,3,0,Auburn School District,Auburn School District; Public Health Seattle and King County; Washington Healthplanfinder,0.0,30.4,9.1,0.06,0,0,0
Auburn School District,Kosraean,9,optimistic,0,0,0,0,0,City of Auburn,,9.0,9.0,9.0,1.0,9,9,9
Renton School District,Mien,9,optimistic,0,0,0,0,0,City of Renton,,9.0,9.0,9.0,1.0,9,9,9
Tukwila School District,Tedim,9,optimistic,0,0,0,0,0,City of Tukwila,,9.0,9.0,9.0,1.0,9,9,9
Federal Way School District,Somali,141,optimistic,3,3,2,5,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,28.2,8.5,0.06,0,0,0
Kent School District,Lingala,13,optimistic,1,1,2,0,0,City of Kent,,11.0,2.6,8.5,0.654,0,0,13
Auburn School District,Vietnamese,136,optimistic,3,3,2,10,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,0.0,27.2,8.2,0.06,0,0,0
Tukwila School District,Vietnamese,136,optimistic,3,3,2,11,0,Tukwila School District,City of Tukwila; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,0.0,27.2,8.2,0.06,0,0,0
Kent School District,Farsi,135,optimistic,3,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,0.0,27.0,8.1,0.06,0,0,135
Tukwila School District,Dari,134,optimistic,3,3,2,5,0,Public Health Seattle and King County,City of Tukwila; DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,26.8,8.0,0.06,0,0,0
Kent School District,Fula,8,optimistic,0,0,0,0,0,City of Auburn,,8.0,8.0,8.0,1.0,8,8,8
Highline School District,Kosraean,8,optimistic,0,0,0,0,0,City of Burien,,8.0,8.0,8.0,1.0,8,8,8
Renton School District,Taishanese,8,optimistic,0,0,0,0,0,City of Renton,,8.0,8.0,8.0,1.0,8,8,8
Tukwila School District,Karen,8,optimistic,0,0,0,0,0,City of Tukwila,,8.0,8.0,8.0,1.0,8,8,8
Federal Way School District,Vietnamese,132,optimistic,3,3,2,10,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,0.0,26.4,7.9,0.06,0,0,0
Kent School District,Amharic,125,optimistic,3,3,2,3,1,King County Library System,International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,25.0,7.5,0.06,0,0,0
Kent School District,Khmer,124,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,24.8,7.4,0.06,0,0,0
Federal Way School District,Lingala,11,optimistic,1,1,2,0,0,Public Health Seattle and King County,,9.3,2.2,7.2,0.655,0,0,11
Federal Way School District,Turkish,11,optimistic,1,1,2,0,0,Public Health Seattle and King County,,9.3,2.2,7.2,0.655,0,0,11
Highline School District,Tedim,7,optimistic,0,0,0,0,0,City of Burien,,7.0,7.0,7.0,1.0,7,7,7
Renton School District,Somali,115,optimistic,3,3,2,6,0,Renton School District,City of Tukwila; DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Renton School District; Washington Healthplanfinder,0.0,23.0,6.9,0.06,0,0,0
Kent School District,Burmese,114,optimistic,3,3,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,0.0,22.8,6.8,0.06,0,0,0
Renton School District,Chinese-Mandarin,108,optimistic,3,3,2,9,0,Renton School District,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Renton School District,0.0,21.6,6.5,0.06,0,0,0
Kent School District,Telugu,10,optimistic,1,1,2,0,0,City of Kent,,8.5,2.0,6.5,0.65,0,0,10
Highline School District,Haitian Creole,10,optimistic,1,1,2,0,0,City of Burien,,8.5,2.0,6.5,0.65,0,0,10
Renton School District,Turkish,10,optimistic,1,1,2,0,0,Public Health Seattle and King County,,8.5,2.0,6.5,0.65,0,0,10
Renton School District,Russian,105,optimistic,3,3,2,10,0,Renton School District,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Renton School District,0.0,21.0,6.3,0.06,0,0,0
Renton School District,Pashto,103,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,20.6,6.2,0.06,0,0,0
Renton School District,Ukrainian,103,optimistic,3,3,2,4,0,Renton School District,King County Library System; Public Health Seattle and King County; Renton School District; Washington Healthplanfinder,0.0,20.6,6.2,0.06,0,0,0
Auburn School District,Ayula-Bambara,6,optimistic,0,0,0,0,0,City of Auburn,,6.0,6.0,6.0,1.0,6,6,6
Kent School District,Taishanese,6,optimistic,0,0,0,0,0,City of Auburn,,6.0,6.0,6.0,1.0,6,6,6
Kent School District,Bengali,9,optimistic,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Kent School District,Cebuano,9,optimistic,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Kent School District,Kinyarwanda,9,optimistic,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Kent School District,Uzbek,9,optimistic,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Renton School District,Gujarati,9,optimistic,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
Renton School District,Telugu,9,optimistic,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
