location_id,language
sound_transit-S_AU_SB,Tagalog
sound_transit-S_AU_SB,Vietnamese
sound_transit-S_KE_NB,Chinese-Cantonese
sound_transit-S_KE_NB,Chinese-Mandarin
sound_transit-S_KE_NB,Korean
sound_transit-S_KE_NB,Russian
sound_transit-S_KE_NB,Spanish
sound_transit-S_KE_NB,Tagalog
sound_transit-S_KE_NB,Vietnamese
sound_transit-S_KE_SB,Chinese-Cantonese
sound_transit-S_KE_SB,Chinese-Mandarin
sound_transit-S_KE_SB,Korean
sound_transit-S_KE_SB,Russian
sound_transit-S_KE_SB,Spanish
sound_transit-S_KE_SB,Tagalog
sound_transit-S_KE_SB,Vietnamese
sound_transit-S_TK_NB,Chinese-Cantonese
sound_transit-S_TK_NB,Chinese-Mandarin
sound_transit-S_TK_NB,Korean
sound_transit-S_TK_NB,Russian
sound_transit-S_TK_NB,Spanish
sound_transit-S_TK_NB,Tagalog
sound_transit-S_TK_NB,Vietnamese
sound_transit-S_TK_SB,Chinese-Cantonese
sound_transit-S_TK_SB,Chinese-Mandarin
sound_transit-S_TK_SB,Korean
sound_transit-S_TK_SB,Russian
sound_transit-S_TK_SB,Spanish
sound_transit-S_TK_SB,Tagalog
sound_transit-S_TK_SB,Vietnamese
