agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,district_name,languages_served,sectors_covered
kcmetro,King County Metro,transit,kcmetro-57458,Kent Sounder Station - Bay 8,transit_center_or_park_ride,47.3838806,-122.232483,Kent School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57459,Kent Sounder Station - Bay 9,transit_center_or_park_ride,47.3834305,-122.232483,Kent School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57773,Auburn Transit Center - Bay 1,transit_center_or_park_ride,47.3062248,-122.232079,Auburn School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57774,Auburn Transit Center - Bay 2,transit_center_or_park_ride,47.3057899,-122.232079,Auburn School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57775,Auburn Transit Center - Bay 3,transit_center_or_park_ride,47.3054886,-122.232079,Auburn School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57776,Auburn Transit Center - Bay 4,transit_center_or_park_ride,47.3052406,-122.232086,Auburn School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57892,Auburn Park And Ride - Bay 1,transit_center_or_park_ride,47.3210411,-122.22802,Auburn School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-59842,South Renton Park & Ride - Bay 1,transit_center_or_park_ride,47.47258,-122.213837,Renton School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-59881,Tukwila Station Acs & S Longacres Way - Bay 1,transit_center_or_park_ride,47.4608307,-122.240807,Renton School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-59882,Tukwila Station Acs & S Longacres Way - Bay 2,transit_center_or_park_ride,47.4603806,-122.241188,Renton School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-59904,South Renton Park & Ride - Bay 3,transit_center_or_park_ride,47.4721756,-122.212746,Renton School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-60921,Tukwila International Blvd Station - Bay 1,transit_center_or_park_ride,47.4642067,-122.288452,Tukwila School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-60922,Tukwila International Blvd Station - Bay 2,transit_center_or_park_ride,47.4640274,-122.287933,Tukwila School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-60923,Tukwila International Blvd Station - Bay 3,transit_center_or_park_ride,47.4639206,-122.287628,Tukwila School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85531,Federal Way Downtown Station - Bay 1,transit_center_or_park_ride,47.3170509,-122.303543,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85532,Federal Way Downtown Station - Bay 2,transit_center_or_park_ride,47.3168335,-122.30368,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85538,Federal Way Downtown Station - Bay 8,transit_center_or_park_ride,47.3166771,-122.303558,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85539,Federal Way Downtown Station - Bay 9,transit_center_or_park_ride,47.3169327,-122.303398,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85540,Federal Way Downtown Station - Bay 10,transit_center_or_park_ride,47.3171043,-122.303299,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85541,Federal Way Downtown Station - Bay 11,transit_center_or_park_ride,47.316452,-122.30323,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85542,Federal Way Downtown Station - Bay 12,transit_center_or_park_ride,47.3151779,-122.305496,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-85543,Federal Way Downtown Station - Bay 13,transit_center_or_park_ride,47.3150368,-122.30439,Federal Way School District,Tagalog,"library, transit"
