agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,gtfs_location_type,capture_date,source_url
kcmetro,King County Metro,transit,kcmetro-71954,Redmond Transit Center - Bay 6,transit_center_or_park_ride,47.6767349,-122.123993,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71960,Redmond Transit Center - Bay 5,transit_center_or_park_ride,47.6768913,-122.124428,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-71961,Redmond Transit Center - Bay 4,transit_center_or_park_ride,47.6767311,-122.12513,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-72477,Downtown Redmond Station - Bay 2,transit_center_or_park_ride,47.6715317,-122.11834,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-72478,Downtown Redmond Station - Bay 3,transit_center_or_park_ride,47.6720924,-122.119255,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-72479,Downtown Redmond Station - Bay 4,transit_center_or_park_ride,47.6723862,-122.120308,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-72492,Marymoor Village Station - Bay 2,transit_center_or_park_ride,47.6677933,-122.107521,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-72494,Marymoor Village Station - Bay 4,transit_center_or_park_ride,47.6678581,-122.1073,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-73227,Redmond Transit Center - Bay 1,transit_center_or_park_ride,47.6765938,-122.124939,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-73812,Kirkland Transit Center - Bay 1,transit_center_or_park_ride,47.6763,-122.203323,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-73814,Kirkland Transit Center - Bay 2,transit_center_or_park_ride,47.6768913,-122.203346,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-73816,Kirkland Transit Center - Bay 3,transit_center_or_park_ride,47.6758537,-122.203468,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-73818,Kirkland Transit Center - Bay 4,transit_center_or_park_ride,47.6765175,-122.203552,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-74230,Totem Lake Transit Center - Bay 3,transit_center_or_park_ride,47.7143059,-122.17981,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
