NAME,B16001_001E,B16001_002E,B16001_003E,B16001_004E,B16001_005E,B16001_006E,B16001_007E,B16001_008E,B16001_009E,B16001_010E,B16001_011E,B16001_012E,B16001_013E,B16001_014E,B16001_015E,B16001_016E,B16001_017E,B16001_018E,B16001_019E,B16001_020E,B16001_021E,B16001_022E,B16001_023E,B16001_024E,B16001_025E,B16001_026E,B16001_027E,B16001_028E,B16001_029E,B16001_030E,B16001_031E,B16001_032E,B16001_033E,B16001_034E,B16001_035E,B16001_036E,B16001_037E,B16001_038E,B16001_039E,B16001_040E,B16001_041E,B16001_042E,B16001_043E,B16001_044E,B16001_045E,state,public use microdata area,B16001_046E,B16001_047E,B16001_048E,B16001_049E,B16001_050E,B16001_051E,B16001_052E,B16001_053E,B16001_054E,B16001_055E,B16001_056E,B16001_057E,B16001_058E,B16001_059E,B16001_060E,B16001_061E,B16001_062E,B16001_063E,B16001_064E,B16001_065E,B16001_066E,B16001_067E,B16001_068E,B16001_069E,B16001_070E,B16001_071E,B16001_072E,B16001_073E,B16001_074E,B16001_075E,B16001_076E,B16001_077E,B16001_078E,B16001_079E,B16001_080E,B16001_081E,B16001_082E,B16001_083E,B16001_084E,B16001_085E,B16001_086E,B16001_087E,B16001_088E,B16001_089E,B16001_090E,B16001_091E,B16001_092E,B16001_093E,B16001_094E,B16001_095E,B16001_096E,B16001_097E,B16001_098E,B16001_099E,B16001_100E,B16001_101E,B16001_102E,B16001_103E,B16001_104E,B16001_105E,B16001_106E,B16001_107E,B16001_108E,B16001_109E,B16001_110E,B16001_111E,B16001_112E,B16001_113E,B16001_114E,B16001_115E,B16001_116E,B16001_117E,B16001_118E,B16001_119E,B16001_120E,B16001_121E,B16001_122E,B16001_123E,B16001_124E,B16001_125E,B16001_126E,B16001_127E,B16001_128E
Pierce County (South Central)--Parkland & Spanaway PUMA; Washington,99958,76924,9637,6668,2969,254,203,51,34,0,34,65,65,0,7,7,0,338,289,49,0,0,0,0,0,0,1381,1008,373,98,98,0,7,7,0,1361,494,867,0,0,0,97,81,16,0,53,25306,0,0,87,60,27,0,0,0,263,155,108,0,0,0,0,0,0,353,258,95,0,0,0,69,69,0,0,0,0,187,94,93,339,289,50,1652,802,850,42,22,20,221,63,158,949,403,546,77,44,33,9,9,0,1903,1304,599,2463,1726,737,24,0,24,0,0,0,0,0,0,101,101,0,869,419,450,0,0,0,14,14,0,133,95,38
Pierce County (West Central)--Lakewood & University Place Cities PUMA; Washington,104209,82376,9810,6321,3489,253,253,0,0,0,0,57,42,15,109,97,12,842,780,62,53,53,0,0,0,0,432,114,318,29,0,29,0,0,0,66,66,0,0,0,0,158,117,41,33,53,25307,22,11,77,62,15,15,0,15,88,48,40,0,0,0,0,0,0,388,340,48,29,29,0,13,13,0,17,0,17,195,129,66,389,212,177,2612,1236,1376,16,16,0,916,402,514,305,155,150,125,87,38,56,53,3,1833,1394,439,947,674,273,398,220,178,0,0,0,50,32,18,382,382,0,841,559,282,0,0,0,31,31,0,268,107,161
Pierce County (Northwest)--Peninsula Region & JBLM PUMA; Washington,107027,95455,5226,4102,1124,627,432,195,50,39,11,47,37,10,62,47,15,595,443,152,0,0,0,47,47,0,386,266,120,193,193,0,82,35,47,106,34,72,0,0,0,47,47,0,40,53,25308,40,0,78,78,0,5,5,0,0,0,0,0,0,0,90,0,90,130,130,0,0,0,0,0,0,0,0,0,0,505,289,216,229,145,84,624,354,270,16,16,0,177,118,59,17,9,8,175,79,96,159,159,0,651,347,304,724,457,267,0,0,0,14,14,0,42,40,2,88,56,32,251,178,73,0,0,0,29,29,0,60,60,0
Skagit County PUMA; Washington,124349,104402,16025,9978,6047,335,265,70,0,0,0,6,6,0,83,63,20,394,372,22,20,20,0,22,12,10,487,188,299,43,43,0,26,24,2,254,40,214,0,0,0,40,37,3,0,53,25701,0,0,62,62,0,13,13,0,264,92,172,0,0,0,0,0,0,90,77,13,0,0,0,2,2,0,0,0,0,259,86,173,99,67,32,100,29,71,14,14,0,100,56,44,15,0,15,100,59,41,27,27,0,508,394,114,156,66,90,74,52,22,7,7,0,2,2,0,16,16,0,41,41,0,0,0,0,80,70,10,183,45,138
Snohomish County (North)--Marysville & Arlington Cities PUMA; Washington,150291,129315,10130,6222,3908,358,346,12,0,0,0,20,20,0,49,49,0,267,267,0,16,16,0,34,34,0,999,558,441,82,57,25,17,17,0,1207,576,631,169,139,30,87,48,39,0,53,26101,0,0,103,82,21,0,0,0,325,166,159,0,0,0,21,21,0,385,282,103,0,0,0,40,29,11,12,12,0,799,412,387,239,177,62,376,187,189,173,126,47,990,593,397,168,57,111,167,64,103,143,143,0,1727,1054,673,412,298,114,295,268,27,17,17,0,378,174,204,606,515,91,37,37,0,4,4,0,103,103,0,21,12,9
Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA; Washington,140465,120458,9146,5649,3497,243,179,64,0,0,0,7,0,7,84,74,10,384,336,48,93,71,22,7,7,0,560,249,311,136,136,0,66,66,0,662,337,325,0,0,0,107,82,25,60,53,26102,60,0,583,521,62,136,89,47,316,146,170,37,17,20,171,108,63,362,259,103,1220,918,302,265,218,47,290,290,0,582,321,261,444,312,132,856,439,417,134,49,85,717,404,313,97,26,71,226,151,75,24,10,14,955,658,297,272,257,15,385,324,61,0,0,0,29,11,18,112,93,19,128,77,51,0,0,0,1,1,0,110,52,58
"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA; Washington",135752,93630,6085,4012,2073,320,262,58,0,0,0,20,20,0,614,466,148,206,169,37,49,49,0,66,51,15,2228,1490,738,207,139,68,462,347,115,686,348,338,50,13,37,826,510,316,483,53,26103,403,80,3150,2607,543,1109,857,252,1193,890,303,421,372,49,886,694,192,824,629,195,3645,2748,897,2258,1827,431,1780,1651,129,4914,2966,1948,654,397,257,2255,1253,1002,113,60,53,1618,758,860,420,200,220,279,64,215,176,117,59,1055,739,316,455,311,144,1357,827,530,46,46,0,381,357,24,185,114,71,133,106,27,0,0,0,61,61,0,452,350,102
"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA; Washington",118864,88561,8869,5883,2986,338,264,74,0,0,0,26,26,0,78,66,12,362,354,8,83,83,0,22,22,0,888,472,416,191,73,118,342,143,199,495,284,211,264,174,90,531,299,232,19,53,26104,19,0,312,271,41,477,430,47,187,92,95,155,75,80,305,187,118,512,425,87,52,52,0,84,43,41,0,0,0,3042,1333,1709,572,384,188,2082,851,1231,19,19,0,2234,1263,971,261,69,192,278,186,92,671,481,190,1478,994,484,856,698,158,910,564,346,11,6,5,2633,1417,1216,242,169,73,396,340,56,0,0,0,0,0,0,26,16,10
Snohomish County (West Central)--Mukilteo & Martha Lake PUMA; Washington,100971,67288,7362,3736,3626,731,617,114,0,0,0,56,56,0,520,161,359,145,136,9,126,126,0,74,49,25,812,481,331,16,16,0,182,91,91,1794,1021,773,14,14,0,539,335,204,208,53,26105,129,79,968,790,178,365,255,110,499,296,203,142,121,21,270,148,122,398,380,18,476,403,73,180,180,0,104,68,36,2045,1137,908,430,208,222,3816,1305,2511,27,0,27,2997,1018,1979,600,359,241,700,239,461,331,72,259,1710,1093,617,1327,872,455,1649,1281,368,14,0,14,1356,919,437,284,234,50,268,255,13,0,0,0,22,22,0,126,107,19
Snohomish County (Central)--Everett City & Eastmont PUMA; Washington,147530,101063,17770,9432,8338,410,259,151,0,0,0,59,59,0,484,236,248,177,177,0,32,32,0,58,58,0,3622,2041,1581,153,90,63,0,0,0,2408,1235,1173,0,0,0,503,271,232,0,53,26106,0,0,386,258,128,459,333,126,341,99,242,62,51,11,417,318,99,359,256,103,264,170,94,144,144,0,29,23,6,1287,868,419,519,406,113,1674,368,1306,33,22,11,4402,1607,2795,1129,318,811,264,140,124,271,178,93,2347,1346,1001,1269,782,487,1759,1169,590,63,49,14,1315,776,539,1000,828,172,906,732,174,6,0,6,44,44,0,42,42,0
