NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,state,school district (unified)
"Federal Way School District, Washington",140377,81792,22318,10738,11580,1064,629,435,255,228,27,5511,2314,3197,4443,2655,1788,4043,1336,2707,2063,848,1215,3061,1246,1815,3987,2475,1512,4712,2772,1940,1133,727,406,5995,3608,2387,53,02820
"Ferndale School District, Washington",35000,29455,1932,1293,639,89,62,27,91,91,0,1222,624,598,1248,1002,246,43,21,22,157,62,95,20,4,16,190,145,45,106,65,41,93,93,0,354,341,13,53,02850
"Fife Public Schools, Washington",22527,16411,2049,1523,526,113,74,39,163,163,0,1612,1007,605,208,97,111,378,131,247,50,16,34,189,57,132,339,256,83,669,458,211,32,15,17,314,196,118,53,02880
"Finley School District, Washington",4886,3789,1097,651,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,02910
"Franklin Pierce School District, Washington",51905,41064,3931,2516,1415,142,65,77,263,221,42,1298,515,783,201,154,47,603,165,438,160,91,69,130,54,76,1046,721,325,2467,1471,996,0,0,0,600,293,307,53,02940
"Freeman School District, Washington",4820,4640,42,31,11,7,7,0,26,17,9,60,37,23,7,0,7,0,0,0,29,29,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,53,02970
"Garfield School District, Washington",654,644,7,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03000
"Glenwood School District, Washington",514,503,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,53,03030
"Goldendale School District, Washington",7368,6945,293,209,84,14,14,0,14,14,0,0,0,0,53,49,4,0,0,0,16,16,0,0,0,0,8,8,0,0,0,0,0,0,0,25,25,0,53,03090
"Grand Coulee Dam School District, Washington",3992,3747,139,103,36,0,0,0,2,2,0,4,4,0,21,21,0,0,0,0,5,0,5,0,0,0,3,0,3,7,7,0,0,0,0,64,60,4,53,03130
