path,locale,en_status,locale_status,en_body_chars,locale_body_chars,body_identical_to_english,locale_title,capture_date
/dept/elections/korean/about-us/leadership,vi-VN,200,200,1534,1534,True,"경영지도팀 만나보기 - King County, Washington",2026-09-05
/dept/elections/korean/about-us/leadership,zh-CN,200,200,1534,1534,True,"경영지도팀 만나보기 - King County, Washington",2026-09-05
/dept/executive-services/transit-transportation-roads/airport/news-announcements/2024/20241123-galvin-flying,es-ES,200,200,2279,2279,True,"Statement on apparent closure of Galvin Flying - King County, Washington",2026-09-05
/dept/executive-services/transit-transportation-roads/airport/news-announcements/2024/20241123-galvin-flying,ko-KR,200,200,2279,2279,True,"Statement on apparent closure of Galvin Flying - King County, Washington",2026-09-05
/dept/executive-services/transit-transportation-roads/airport/news-announcements/2024/20241123-galvin-flying,ru-RU,200,200,2279,2279,True,"Statement on apparent closure of Galvin Flying - King County, Washington",2026-09-05
/dept/executive-services/transit-transportation-roads/airport/news-announcements/2024/20241123-galvin-flying,so-SO,200,200,2279,2279,True,"Statement on apparent closure of Galvin Flying - King County, Washington",2026-09-05
/dept/executive-services/transit-transportation-roads/airport/news-announcements/2024/20241123-galvin-flying,uk-UA,200,200,2279,2279,True,"Statement on apparent closure of Galvin Flying - King County, Washington",2026-09-05
/dept/executive-services/transit-transportation-roads/airport/news-announcements/2024/20241123-galvin-flying,vi-VN,200,200,2279,2279,True,"Statement on apparent closure of Galvin Flying - King County, Washington",2026-09-05
/dept/executive-services/transit-transportation-roads/airport/news-announcements/2024/20241123-galvin-flying,zh-CN,200,200,2279,2279,True,"Statement on apparent closure of Galvin Flying - King County, Washington",2026-09-05
/dept/metro/shareddata/breadcrumbs/fe-app-breadcrumbs--schedules-and-maps,es-ES,404,404,0,0,,,2026-09-05
/dept/metro/shareddata/breadcrumbs/fe-app-breadcrumbs--schedules-and-maps,ko-KR,404,404,0,0,,,2026-09-05
/dept/metro/shareddata/breadcrumbs/fe-app-breadcrumbs--schedules-and-maps,ru-RU,404,404,0,0,,,2026-09-05
/dept/metro/shareddata/breadcrumbs/fe-app-breadcrumbs--schedules-and-maps,so-SO,404,404,0,0,,,2026-09-05
/dept/metro/shareddata/breadcrumbs/fe-app-breadcrumbs--schedules-and-maps,uk-UA,404,404,0,0,,,2026-09-05
/dept/metro/shareddata/breadcrumbs/fe-app-breadcrumbs--schedules-and-maps,vi-VN,404,404,0,0,,,2026-09-05
/dept/metro/shareddata/breadcrumbs/fe-app-breadcrumbs--schedules-and-maps,zh-CN,404,404,0,0,,,2026-09-05
